"Nombre","Fecha","Tipo","Horario"
"TIERRAS PERDIDAS","02/05","DBOX + 3D CASTELLANO"," 20:10"
"TIERRAS PERDIDAS","02/05","DBOX + 3D CASTELLANO"," 23:00"
"TIERRAS PERDIDAS","02/05","DBOX + 2D CASTELLANO"," 14:00"
"TIERRAS PERDIDAS","02/05","DBOX + 2D CASTELLANO"," 16:50"
"TIERRAS PERDIDAS","02/05","DBOX + 2D CASTELLANO"," 19:40"
"TIERRAS PERDIDAS","02/05","DBOX + 2D CASTELLANO"," 22:30"
"TIERRAS PERDIDAS","02/05","3D CASTELLANO"," 14:30"
"TIERRAS PERDIDAS","02/05","3D CASTELLANO"," 15:50"
"TIERRAS PERDIDAS","02/05","3D CASTELLANO"," 17:20"
"TIERRAS PERDIDAS","02/05","3D CASTELLANO"," 18:40"
"TIERRAS PERDIDAS","02/05","3D CASTELLANO"," 20:10"
"TIERRAS PERDIDAS","02/05","3D CASTELLANO"," 21:00"
"TIERRAS PERDIDAS","02/05","3D CASTELLANO"," 21:30"
"TIERRAS PERDIDAS","02/05","3D CASTELLANO"," 23:00"
"TIERRAS PERDIDAS","02/05",""," 14:00"
"TIERRAS PERDIDAS","02/05",""," 15:20"
"TIERRAS PERDIDAS","02/05",""," 16:20"
"TIERRAS PERDIDAS","02/05",""," 16:50"
"TIERRAS PERDIDAS","02/05",""," 18:10"
"TIERRAS PERDIDAS","02/05",""," 19:10"
"TIERRAS PERDIDAS","02/05",""," 19:40"
"TIERRAS PERDIDAS","02/05",""," 22:30"
"TIERRAS PERDIDAS","02/05",""," 22:00"
"TIERRAS PERDIDAS","03/05","DBOX + 3D CASTELLANO"," 14:30"
"TIERRAS PERDIDAS","03/05","DBOX + 3D CASTELLANO"," 17:20"
"TIERRAS PERDIDAS","03/05","DBOX + 3D CASTELLANO"," 20:10"
"TIERRAS PERDIDAS","03/05","DBOX + 3D CASTELLANO"," 23:00"
"TIERRAS PERDIDAS","03/05","DBOX + 2D CASTELLANO"," 14:00"
"TIERRAS PERDIDAS","03/05","DBOX + 2D CASTELLANO"," 16:50"
"TIERRAS PERDIDAS","03/05","DBOX + 2D CASTELLANO"," 19:40"
"TIERRAS PERDIDAS","03/05","DBOX + 2D CASTELLANO"," 22:30"
"TIERRAS PERDIDAS","03/05","3D CASTELLANO"," 14:30"
"TIERRAS PERDIDAS","03/05","3D CASTELLANO"," 15:50"
"TIERRAS PERDIDAS","03/05","3D CASTELLANO"," 17:20"
"TIERRAS PERDIDAS","03/05","3D CASTELLANO"," 18:40"
"TIERRAS PERDIDAS","03/05","3D CASTELLANO"," 20:10"
"TIERRAS PERDIDAS","03/05","3D CASTELLANO"," 21:00"
"TIERRAS PERDIDAS","03/05","3D CASTELLANO"," 21:30"
"TIERRAS PERDIDAS","03/05","3D CASTELLANO"," 23:00"
"TIERRAS PERDIDAS","03/05",""," 13:30"
"TIERRAS PERDIDAS","03/05",""," 14:00"
"TIERRAS PERDIDAS","03/05",""," 15:20"
"TIERRAS PERDIDAS","03/05",""," 16:20"
"TIERRAS PERDIDAS","03/05",""," 16:50"
"TIERRAS PERDIDAS","03/05",""," 18:10"
"TIERRAS PERDIDAS","03/05",""," 19:10"
"TIERRAS PERDIDAS","03/05",""," 19:40"
"TIERRAS PERDIDAS","03/05",""," 22:30"
"TIERRAS PERDIDAS","03/05",""," 22:00"
"TIERRAS PERDIDAS","04/05","DBOX + 3D CASTELLANO"," 14:30"
"TIERRAS PERDIDAS","04/05","DBOX + 3D CASTELLANO"," 17:20"
"TIERRAS PERDIDAS","04/05","DBOX + 3D CASTELLANO"," 20:10"
"TIERRAS PERDIDAS","04/05","DBOX + 3D CASTELLANO"," 23:00"
"TIERRAS PERDIDAS","04/05","DBOX + 2D CASTELLANO"," 14:00"
"TIERRAS PERDIDAS","04/05","DBOX + 2D CASTELLANO"," 16:50"
"TIERRAS PERDIDAS","04/05","DBOX + 2D CASTELLANO"," 19:40"
"TIERRAS PERDIDAS","04/05","DBOX + 2D CASTELLANO"," 22:30"
"TIERRAS PERDIDAS","04/05","3D CASTELLANO"," 14:30"
"TIERRAS PERDIDAS","04/05","3D CASTELLANO"," 15:50"
"TIERRAS PERDIDAS","04/05","3D CASTELLANO"," 17:20"
"TIERRAS PERDIDAS","04/05","3D CASTELLANO"," 18:40"
"TIERRAS PERDIDAS","04/05","3D CASTELLANO"," 20:10"
"TIERRAS PERDIDAS","04/05","3D CASTELLANO"," 21:00"
"TIERRAS PERDIDAS","04/05","3D CASTELLANO"," 21:30"
"TIERRAS PERDIDAS","04/05","3D CASTELLANO"," 23:00"
"TIERRAS PERDIDAS","04/05",""," 13:30"
"TIERRAS PERDIDAS","04/05",""," 14:00"
"TIERRAS PERDIDAS","04/05",""," 15:20"
"TIERRAS PERDIDAS","04/05",""," 16:20"
"TIERRAS PERDIDAS","04/05",""," 16:50"
"TIERRAS PERDIDAS","04/05",""," 18:10"
"TIERRAS PERDIDAS","04/05",""," 19:10"
"TIERRAS PERDIDAS","04/05",""," 19:40"
"TIERRAS PERDIDAS","04/05",""," 22:30"
"TIERRAS PERDIDAS","04/05",""," 22:00"
"TIERRAS PERDIDAS","05/05","DBOX + 3D CASTELLANO"," 14:30"
"TIERRAS PERDIDAS","05/05","DBOX + 3D CASTELLANO"," 17:20"
"TIERRAS PERDIDAS","05/05","DBOX + 3D CASTELLANO"," 20:10"
"TIERRAS PERDIDAS","05/05","DBOX + 3D CASTELLANO"," 23:00"
"TIERRAS PERDIDAS","05/05","DBOX + 2D CASTELLANO"," 14:00"
"TIERRAS PERDIDAS","05/05","DBOX + 2D CASTELLANO"," 16:50"
"TIERRAS PERDIDAS","05/05","DBOX + 2D CASTELLANO"," 19:40"
"TIERRAS PERDIDAS","05/05","DBOX + 2D CASTELLANO"," 22:30"
"TIERRAS PERDIDAS","05/05","3D CASTELLANO"," 14:30"
"TIERRAS PERDIDAS","05/05","3D CASTELLANO"," 15:50"
"TIERRAS PERDIDAS","05/05","3D CASTELLANO"," 17:20"
"TIERRAS PERDIDAS","05/05","3D CASTELLANO"," 18:40"
"TIERRAS PERDIDAS","05/05","3D CASTELLANO"," 20:10"
"TIERRAS PERDIDAS","05/05","3D CASTELLANO"," 21:00"
"TIERRAS PERDIDAS","05/05","3D CASTELLANO"," 21:30"
"TIERRAS PERDIDAS","05/05","3D CASTELLANO"," 23:00"
"TIERRAS PERDIDAS","05/05",""," 14:00"
"TIERRAS PERDIDAS","05/05",""," 15:20"
"TIERRAS PERDIDAS","05/05",""," 16:20"
"TIERRAS PERDIDAS","05/05",""," 16:50"
"TIERRAS PERDIDAS","05/05",""," 18:10"
"TIERRAS PERDIDAS","05/05",""," 19:10"
"TIERRAS PERDIDAS","05/05",""," 19:40"
"TIERRAS PERDIDAS","05/05",""," 22:30"
"TIERRAS PERDIDAS","05/05",""," 22:00"
"TIERRAS PERDIDAS","06/05","DBOX + 3D CASTELLANO"," 14:30"
"TIERRAS PERDIDAS","06/05","DBOX + 3D CASTELLANO"," 17:20"
"TIERRAS PERDIDAS","06/05","DBOX + 3D CASTELLANO"," 20:10"
"TIERRAS PERDIDAS","06/05","DBOX + 3D CASTELLANO"," 23:00"
"TIERRAS PERDIDAS","06/05","DBOX + 2D CASTELLANO"," 14:00"
"TIERRAS PERDIDAS","06/05","DBOX + 2D CASTELLANO"," 16:50"
"TIERRAS PERDIDAS","06/05","DBOX + 2D CASTELLANO"," 19:40"
"TIERRAS PERDIDAS","06/05","DBOX + 2D CASTELLANO"," 22:30"
"TIERRAS PERDIDAS","06/05","3D CASTELLANO"," 14:30"
"TIERRAS PERDIDAS","06/05","3D CASTELLANO"," 15:50"
"TIERRAS PERDIDAS","06/05","3D CASTELLANO"," 17:20"
"TIERRAS PERDIDAS","06/05","3D CASTELLANO"," 18:40"
"TIERRAS PERDIDAS","06/05","3D CASTELLANO"," 20:10"
