Fecha,Horario,FormatoImagen,FormatoIdioma,Cine,Nombre
2025-04-24,22:15,2D,Castellano,Monumental,Until dawn: noche de terror
2025-04-24,17:00,2D,Castellano,Monumental,BLANCANIEVES
2025-04-24,19:15,2D,Castellano,Monumental,MAZEL TOV
2025-04-24,16:30,2D,Castellano,Las Tipas,Looney Tunes
2025-04-24,16:00,2D,Castellano,Monumental,MINECRAFT
2025-04-24,16:45,2D,Castellano,Monumental,MINECRAFT
2025-04-24,17:55,2D,Castellano,Monumental,MINECRAFT
2025-04-24,18:45,2D,Castellano,Monumental,MINECRAFT
2025-04-24,17:10,2D,Castellano,Cinépolis,Until dawn: noche de terror
2025-04-24,22:15,2D,Castellano,Cinépolis,PECADORES
2025-04-24,19:20,2D,Castellano,Cinépolis,PECADORES
2025-04-24,16:30,2D,Castellano,Cinépolis,PECADORES
2025-04-24,19:45,2D,Castellano,Cinépolis,MAZEL TOV
2025-04-24,22:00,2D,Castellano,Cinépolis,MAZEL TOV
2025-04-24,19:30,2D,Castellano,Cinépolis,La venganza de los Sith 20 Aniversario
2025-04-24,22:30,2D,Subtitulado,Cinépolis,La venganza de los Sith 20 Aniversario
2025-04-24,20:30,2D,Subtitulado,Cinépolis,Pink Floyd at Pompeii – MCMLXXII
2025-04-24,16:50,2D,Castellano,Cinépolis,MINECRAFT
2025-04-24,17:40,2D,Castellano,Cinépolis,MINECRAFT
2025-04-24,20:00,2D,Castellano,Monumental,MINECRAFT
2025-04-24,19:10,2D,Castellano,Cinépolis,MINECRAFT
2025-04-24,21:30,2D,Castellano,Cinépolis,MINECRAFT
2025-04-24,22:20,2D,Castellano,Cinépolis,MINECRAFT
2025-04-24,17:15,3D,Castellano,Cinépolis,MINECRAFT
2025-04-24,19:45,3D,Castellano,Cinépolis,MINECRAFT
2025-04-24,16:00,2D,Castellano,Cinépolis,BLANCANIEVES
2025-04-24,18:15,2D,Castellano,Cinépolis,Puente en llamas
2025-04-24,22:50,2D,Castellano,Cinépolis,Puente en llamas
2025-04-24,20:00,2D,Castellano,Cinépolis,MINECRAFT
2025-04-24,21:05,2D,Castellano,Monumental,MINECRAFT
2025-04-24,14:50,2D,Castellano,Monumental,MINECRAFT
2025-04-24,14:40,3D,Castellano,Showcase,MINECRAFT
2025-04-24,19:30,2D,Subtitulado,Showcase,La venganza de los Sith 20 Aniversario
2025-04-24,20:00,2D,Subtitulado,Showcase,Pink Floyd at Pompeii – MCMLXXII
2025-04-24,20:20,4D,Castellano,Las Tipas,MINECRAFT
2025-04-24,14:00,2D,Subtitulado,Showcase,PECADORES
2025-04-24,19:45,2D,Subtitulado,Showcase,PECADORES
2025-04-24,22:10,2D,Castellano,Showcase,PECADORES
2025-04-24,16:50,2D,Subtitulado,Showcase,PECADORES
2025-04-24,19:10,2D,Castellano,Showcase,PECADORES
2025-04-24,16:10,2D,Castellano,Showcase,PECADORES
2025-04-24,18:00,4D,Castellano,Las Tipas,MINECRAFT
2025-04-24,22:30,2D,Subtitulado,Showcase,La venganza de los Sith 20 Aniversario
2025-04-24,15:40,4D,Castellano,Las Tipas,MINECRAFT
2025-04-24,14:40,4D,Castellano,Las Tipas,MINECRAFT
2025-04-24,16:40,4D,Castellano,Las Tipas,MINECRAFT
2025-04-24,16:20,3D,Castellano,Las Tipas,MINECRAFT
2025-04-24,16:30,2D,Castellano,Las Tipas,The Chosen: La última cena
2025-04-24,15:00,2D,Castellano,Las Tipas,MAZEL TOV
2025-04-24,22:40,2D,Subtitulado,Showcase,PECADORES
2025-04-24,13:30,4D,Castellano,Las Tipas,MINECRAFT
2025-04-24,19:40,2D,Castellano,Las Tipas,MAZEL TOV
2025-04-24,17:20,2D,Castellano,Las Tipas,MAZEL TOV
2025-04-24,22:10,2D,Castellano,Las Tipas,MAZEL TOV
2025-04-24,14:30,2D,Castellano,Las Tipas,EL REY DE REYES
2025-04-24,14:00,3D,Castellano,Las Tipas,MINECRAFT
2025-04-24,16:30,2D,Castellano,Showcase,La venganza de los Sith 20 Aniversario
2025-04-25,22:50,2D,Subtitulado,Cinépolis,Puente en llamas
2025-04-25,18:15,2D,Castellano,Cinépolis,Puente en llamas
2025-04-25,22:15,2D,Castellano,Showcase,PECADORES
2025-04-25,16:30,2D,Castellano,Cinépolis,PECADORES
2025-04-25,19:20,2D,Castellano,Cinépolis,PECADORES
2025-04-25,14:00,2D,Subtitulado,Showcase,PECADORES
2025-04-25,22:25,2D,Subtitulado,Showcase,El Amateur: Operación Venganza
2025-04-25,14:05,2D,Castellano,Showcase,El Amateur: Operación Venganza
2025-04-25,19:05,2D,Subtitulado,Showcase,PECADORES
2025-04-25,17:15,3D,Castellano,Cinépolis,MINECRAFT
2025-04-25,16:00,2D,Castellano,Cinépolis,BLANCANIEVES
2025-04-25,14:05,2D,Castellano,Showcase,EL REY DE REYES
2025-04-25,19:45,3D,Castellano,Cinépolis,MINECRAFT
2025-04-25,22:20,2D,Castellano,Cinépolis,MINECRAFT
2025-04-25,21:30,2D,Castellano,Cinépolis,MINECRAFT
2025-04-25,20:00,2D,Castellano,Cinépolis,MINECRAFT
2025-04-25,19:10,2D,Castellano,Cinépolis,MINECRAFT
2025-04-25,17:40,2D,Castellano,Cinépolis,MINECRAFT
2025-04-25,16:50,2D,Castellano,Cinépolis,MINECRAFT
2025-04-25,22:30,2D,Subtitulado,Cinépolis,La venganza de los Sith 20 Aniversario
2025-04-25,19:30,2D,Subtitulado,Cinépolis,La venganza de los Sith 20 Aniversario
2025-04-25,22:00,2D,Castellano,Cinépolis,MAZEL TOV
2025-04-25,19:45,2D,Castellano,Cinépolis,MAZEL TOV
2025-04-25,17:30,2D,Castellano,Cinépolis,MAZEL TOV
2025-04-25,16:45,2D,Castellano,Showcase,El Amateur: Operación Venganza
2025-04-25,22:15,2D,Subtitulado,Cinépolis,PECADORES
2025-04-25,17:55,2D,Castellano,Monumental,MINECRAFT
2025-04-25,21:30,2D,Castellano,Showcase,MAZEL TOV
2025-04-25,17:35,2D,Castellano,Showcase,DROP AMENAZA ANONIMA
2025-04-25,19:55,2D,Subtitulado,Showcase,DROP AMENAZA ANONIMA
2025-04-25,21:10,2D,Castellano,Monumental,PECADORES
2025-04-25,21:20,2D,Subtitulado,Monumental,La venganza de los Sith 20 Aniversario
2025-04-25,21:25,2D,Castellano,Monumental,Puente en llamas
2025-04-25,19:00,2D,Castellano,Monumental,Until dawn: noche de terror
2025-04-25,22:15,2D,Castellano,Monumental,Until dawn: noche de terror
2025-04-25,16:35,2D,Castellano,Showcase,Puente en llamas
2025-04-25,15:15,2D,Castellano,Showcase,Puente en llamas
2025-04-25,22:10,2D,Subtitulado,Showcase,Puente en llamas
2025-04-25,17:00,2D,Castellano,Monumental,BLANCANIEVES
2025-04-25,19:15,2D,Castellano,Monumental,MAZEL TOV
2025-04-25,14:50,2D,Castellano,Monumental,MINECRAFT
2025-04-25,19:55,2D,Castellano,Showcase,Until dawn: noche de terror
2025-04-25,16:55,2D,Castellano,Showcase,Until dawn: noche de terror
2025-04-25,14:25,2D,Castellano,Showcase,Until dawn: noche de terror
2025-04-25,22:15,2D,Subtitulado,Showcase,Until dawn: noche de terror
2025-04-25,16:00,2D,Castellano,Monumental,MINECRAFT
2025-04-25,16:45,2D,Castellano,Monumental,MINECRAFT
2025-04-25,18:55,2D,Castellano,Monumental,PECADORES
2025-04-25,22:35,2D,Castellano,Showcase,MAZEL TOV
2025-04-25,16:30,2D,Castellano,Monumental,ROBOT SALVAJE
2025-04-25,22:10,2D,Castellano,Showcase,PECADORES
2025-04-25,18:45,2D,Castellano,Monumental,MINECRAFT
